sort,trial,location,State/Prov,Grower,# Entries,# Reps,Lat,Long,"Planting
Date","Harvest
Date","Row Width
(in)","# rows
planted","# rows
harvested","length planted
(ft)","length harvested
(ft)","Maturity
(ref check)","Loc Mean
(bu/ac)",CV (%),LSD (5%),Bordered?,End Trimmed?
1,.,,,,,,,,,,,,,,,,,,,,
2,24PTII,Ames,IA,Singh,40,2,41.971272,-93.630787,19-May,7-Oct,30,4,2,12,12,21-Sep,79.6,7.5,12.1,Y,N
3,24PTII,Lucas,IA,Singh,40,2,40.980105,-93.415709,1-Jun,11-Oct,30,4,2,12,12,19-Sep,58.9,11.1,13.2,Y,N
4,24PTII,Sutherland,IA,Singh,40,2,42.925567,-95.527129,10-Jun,22-Oct,30,4,2,12,12,N/A,67.2,8,10.9,Y,N
5,24PTII,Urbana,IL,Monteverde,40,2,40.053555,-88.235716,22-May,2-Oct,30,4,2,15,10,16-Sep,64.6,6.1,7.9,Y,Y
6,24PTII,West Lafayette,IN,Cai,40,2,40.4806472,-87.0045956,8-May,26-Sep,30,4,2,12,12,9-Sep,82.6,7,11.7,Y,N
7,24PTII,East Lansing,MI,Wang,40,2,42.63032,-84.437597,24-May,18-Oct,15,6,4,17,17,N/A,58.7,11.3,13.4,Y,N
8,24PTII,Cotesfield,NE,Graef,40,2,41.3305,-98.612,28-May,15-Oct,30,4,2,12.5,9.5,25-Sep,88.7,6,10.8,Y,Y
9,24PTII,Mead,NE,Graef,40,2,41.1595,-96.4195,18-May,27-Sep,30,4,2,12.5,9.5,20-Sep,74.5,6.9,10.3,Y,Y
10,24PTII,Phillips,NE,Graef,40,2,40.8897,-98.1495,29-May,25-Oct,30,4,2,12.5,9.5,23-Sep,85,5.4,9.4,Y,Y
11,24PTII,Hoytville,OH,McHale,40,2,41.21487,-83.757752,12-Jun,19-Oct,7.5,8,6,16,16,1-Oct,50,9.8,9.9,Y,N
12,24PTII,Chatham,ONT,Eskandari,40,2,42.4028995,-82.1223806,16-May,21-Oct,17,5,3,13.1,12.5,25-Sep,97.3,7.1,13.9,Y,Y
13,.,,,,,,,,,,,,,,,,,,,,
14,24PTIIIA,Ames,IA,Singh,30,2,41.971272,-93.630787,19-May,7-Oct,30,4,2,12,12,23-Sep,83.9,14.7,25.2,Y,N
15,24PTIIIA,Lucas,IA,Singh,30,2,40.980105,-93.415709,1-Jun,11-Oct,30,4,2,12,12,20-Sep,58.9,8.4,10.1,Y,N
16,24PTIIIA,Savoy,IL,Mahan,30,2,40.056616,-88.232983,23-May,17-Oct,30,4,2,11,11,25-Sep,73.8,6.4,9.6,Y,N
17,24PTIIIA,Urbana,IL,Monteverde,30,2,40.053555,-88.235716,22-May,14-Oct,30,4,2,15,10,24-Sep,70.7,8.3,12,Y,Y
18,24PTIIIA,West Lafayette,IN,Cai,30,2,40.4806368,-87.0037108,8-May,4-Oct,30,4,2,12,12,16-Sep,86.5,6.8,12,Y,N
19,24PTIIIA,Manhattan,KS,Schapaugh,30,2,39.13225,-96.618083,10-Jun,9-Oct,30,4,2,12,12,28-Sep,73.8,3.4,5.2,Y,N
20,24PTIIIA,Novelty,MO,Scaboo,30,2,39.943409,-92.059415,29-May,22-Oct,30,4,2,16,12,18-Sep,78.3,5.7,9.2,Y,Y
22,24PTIIIA,Cook,NE,Graef,30,2,40.5188,-96.2358,23-May,10-Oct,30,4,2,12.5,9.5,20-Sep,88.4,5.7,10.4,Y,Y
23,24PTIIIA,Steven's Creek,NE,Graef,30,2,40.8615,-96.5959,30-May,15-Nov,30,4,2,12.5,9.5,23-Sep,59.9,13.3,16.3,Y,Y
24,24PTIIIA,Phillips,NE,Graef,30,2,40.8897,-98.1495,29-May,25-Oct,30,4,2,12.5,9.5,N/A,84.8,4.6,7.9,Y,Y
25,24PTIIIA,Hoytville,OH,McHale,30,2,41.21487,-83.757752,12-Jun,19-Oct,7.5,8,6,16,16,7-Oct,60.9,5.9,7.4,Y,N
26,.,,,,,,,,,,,,,,,,,,,,
27,24PTIIIB,Ames,IA,Singh,35,2,41.971272,-93.630787,19-May,7-Oct,30,4,2,12,12,25-Sep,82.5,8.4,14.1,Y,N
28,24PTIIIB,Lucas,IA,Singh,35,2,40.980105,-93.415709,1-Jun,11-Oct,30,4,2,12,12,20-Sep,56.9,5.9,6.8,Y,N
29,24PTIIIB,Savoy,IL,Mahan,35,2,40.056616,-88.232983,23-May,17-Oct,30,4,2,11,11,25-Sep,73.2,3.8,5.6,Y,N
30,24PTIIIB,Urbana,IL,Monteverde,35,2,40.053555,-88.235716,22-May,14-Oct,30,4,2,15,10,24-Sep,67.4,7.6,10.4,Y,Y
31,24PTIIIB,West Lafayette,IN,Cai,35,2,40.4806368,-87.0037108,8-May,4-Oct,30,4,2,12,12,15-Sep,82,6.4,10.6,Y,N
32,24PTIIIB,Manhattan,KS,Schapaugh,35,2,39.13225,-96.618083,10-Jun,9-Oct,30,4,2,12,12,29-Sep,69.8,3.2,4.5,Y,N
33,24PTIIIB,Novelty,MO,Scaboo,35,2,39.943409,-92.059415,29-May,22-Oct,30,4,2,16,12,18-Sep,76.8,7.4,11.5,Y,Y
34,24PTIIIB,Rock Port,MO,Scaboo,35,2,40.269268,-95.473287,11-Jun,22-Nov,30,4,2,16,12,6-Oct,71.8,6.3,9.2,Y,Y
35,24PTIIIB,Cook,NE,Graef,35,2,40.5188,-96.2358,23-May,10-Oct,30,4,2,12.5,9.5,22-Sep,82.7,7,11.7,Y,Y
36,24PTIIIB,Steven's Creek,NE,Graef,35,2,40.8615,-96.5959,30-May,15-Nov,30,4,2,12.5,9.5,24-Sep,61.5,11.9,14.9,Y,Y
37,24PTIIIB,Phillips,NE,Graef,35,2,40.8897,-98.1495,29-May,25-Oct,30,4,2,12.5,9.5,N/A,79.3,7.5,12.2,Y,Y
38,24PTIIIB,Hoytville,OH,McHale,35,2,41.21487,-83.757752,12-Jun,19-Oct,7.5,8,6,16,16,4-Oct,65.6,6.4,8.5,Y,N
39,.,,,,,,,,,,,,,,,,,,,,
40,24PTIV,Savoy,IL,Mahan,38,2,40.056616,-88.232983,23-May,17-Oct,30,4,2,11,11,6-Oct,72.9,5.4,8,Y,N
41,24PTIV,Urbana,IL,Monteverde,38,2,40.053555,-88.235716,22-May,16-Oct,30,4,2,15,10,5-Oct,70.4,6.2,8.9,Y,Y
42,24PTIV,Butlerville,IN,Cai,38,2,39.0362213,-85.5263837,30-May,10-Oct,30,4,2,12,12,24-Sep,81,7.6,12.4,Y,N
43,24PTIV,West Lafayette,IN,Cai,38,2,40.4806396,-87.003017,8-May,16-Oct,30,4,2,12,12,29-Sep,91.4,5.1,9.4,Y,N
44,24PTIV,Manhattan,KS,Schapaugh,38,2,39.13225,-96.618083,10-Jun,18-Oct,30,4,2,12,12,2-Oct,72.3,4.4,6.4,Y,N
46,24PTIV,Manhattan-B,KS,Schapaugh,38,2,39.13225,-96.618083,12-Jun,21-Oct,30,4,2,12,12,5-Oct,67.8,5.3,7.2,Y,N
45,24PTIV,Ottawa-KS,KS,Schapaugh,38,2,38.540444,-95.247722,28-May,4-Oct,30,4,2,12,12,23-Sep,52.9,6.5,7,Y,N
47,24PTIV,Novelty,MO,Scaboo,38,2,39.943409,-92.059415,30-May,23-Oct,30,4,2,16,12,23-Sep,72.2,7.9,11.5,Y,Y
49,.,,,,,,,,,,,,,,,,,,,,
50,24UT00,Carman,MAN,Auclair,9,2,49.362,-97.891,23-May,25-Oct,15,3,3,30,30,24-Sep,47.7,3.7,4.1,N,N
51,24UT00,Crookston,MN,Lorenz,9,3,47.819986,-96.627273,29-May,8-Oct,30,4,2,12,12,13-Sep,46.3,6.2,5,Y,N
52,24UT00,Roseau,MN,Lorenz,9,3,48.87504,-95.81134,15-May,11-Oct,30,4,2,12,12,17-Sep,28.8,13.1,6.5,Y,N
53,24UT00,Thief River Falls,MN,Lorenz,9,3,48.12095,-96.24711,15-May,10-Oct,30,4,2,12,12,11-Sep,35.2,8.7,5.3,Y,N
54,24UT00,Casselton,ND,Miranda,9,3,46.886745,-97.235244,7-Jun,8-Oct,30,4,2,15,15,19-Sep,33.1,26.1,14.9,Y,N
55,24UT00,Galesburg,ND,Miranda,9,3,47.312871,-97.444351,22-May,4-Oct,30,4,2,15,15,17-Sep,32.3,18.4,10.3,Y,N
57,24UT00,Elora,ONT,Rajcan,9,3,43.636134,-80.406403,23-May,3-Oct,13,4,4,21.3,16.4,8-Sep,40.5,5.2,3.6,N,Y
58,24UT00,Ottawa-ONT,ONT,Cober,9,3,45.368323,-75.72633,2-Jun,17-Oct,18,4,4,16.4,13.2,15-Sep,41.2,10.4,7.4,N,Y
59,24UT00,Saint-Mathieu-de-Beloeil,QUE,O'Donoughue,9,3,45.579333,-73.255778,6-Jun,11-Oct,7,5,5,19,19,12-Sep,45.8,8.2,6.6,N,N
60,24UT00,Saskatoon,SAS,Warkentin,9,3,52.1579,106.6702,27-May,15-Oct,14,3,3,15,12,29-Sep,52.3,5.1,4.7,N,Y
61,.,,,,,,,,,,,,,,,,,,,,
62,24UT0,Crookston,MN,Lorenz,17,3,47.819986,-96.627273,29-May,7-Oct,30,4,2,12,12,19-Sep,46.7,6.7,5.2,Y,N
64,24UT0,Perley,MN,Lorenz,17,3,47.070288,-96.690597,14-Jun,11-Oct,30,4,2,12.5,12.5,2-Oct,21.8,14.5,7.1,Y,N
65,24UT0,Casselton,ND,Miranda,17,3,46.886745,-97.235244,7-Jun,8-Oct,30,4,2,15,15,29-Sep,44.4,20.8,15.4,Y,N
