City,State,Country,lat,lon,StationName,Geocoded_City,NeedsVerification,Source
Georgetown,DE,USA,38.690051,-75.385875,,Georgetown,0,
Newark,DE,USA,39.682836,-75.751568,,Newark,0,
Ames,IA,USA,41.971272,-93.630787,ISU Agronomy and Agricultural Engineering Research Center,Ames,0,modern_plotinfo_2024
Corwith,IA,USA,42.992919,-93.957364,,Corwith,0,
Cresco,IA,USA,43.373615,-92.116144,,Cresco,0,
Hudson,IA,USA,42.406586,-92.455301,,Hudson,0,
Kanawha,IA,USA,42.935403,-93.793368,,Kanawha,0,
Knierim,IA,USA,42.455544,-94.457158,,Knierim,0,
Marshalltown,IA,USA,42.048881,-92.912267,,Marshalltown,0,
Ottumwa,IA,USA,41.019566,-92.411689,,Ottumwa,0,
Stuart,IA,USA,41.503321,-94.318574,,Stuart,0,
Sutherland,IA,USA,42.974285,-95.497564,,Sutherland,0,
Belleville,IL,USA,38.5332,-89.894514,USDA ARS Dale Bumpers Small Farms Research Center (check),Belleville,0,modern_plotinfo_2024
Brownstown,IL,USA,38.995878,-88.952839,,Brownstown,0,
Carbondale,IL,USA,37.727469,-89.216655,,Carbondale,0,
Clayton,IL,USA,40.031437,-90.96069,,Clayton,0,
Dekalb,IL,USA,41.890345,-88.771395,NIU / DeKalb County research station,DeKalb County,1,
Dwight,IL,USA,41.094477,-88.42506,,Dwight,0,
Eldorado,IL,USA,37.813658,-88.438103,,Eldorado,0,
Girard,IL,USA,39.445883,-89.77825,,Girard,0,
Greenfield,IL,USA,39.343658,-90.212615,,Greenfield,0,
Mt. Morris,IL,USA,42.050306,-89.43122,,Mount Morris,0,
Pontiac,IL,USA,40.880867,-88.629784,,Pontiac,0,
Stonington,IL,USA,39.640043,-89.192861,,Stonington,0,
Sullivan,IL,USA,39.599479,-88.607839,,Sullivan,0,
Urbana,IL,USA,40.053555,-88.235716,UIUC Crop Sciences Research and Education Center,Urbana,0,modern_plotinfo_2024
Bluffton,IN,USA,40.738658,-85.171637,,Bluffton,0,
Evansville,IN,USA,37.970495,-87.571564,,Evansville,0,
Greenfield,IN,USA,39.78551,-85.768198,,Greenfield,0,
Lafayette,IN,USA,40.480647,-87.004596,Purdue Agronomy Center for Research and Education,Lafayette,0,modern_plotinfo_2024
Sullivan,IN,USA,39.049272,-87.417264,,Sullivan County,0,
Vincennes,IN,USA,38.677269,-87.528633,,Vincennes,0,
Walkerton,IN,USA,41.466711,-86.483068,,Walkerton,0,
Worthington,IN,USA,39.118558,-86.976599,,Worthington,0,
Ashland,KS,USA,37.188638,-99.765683,,Ashland,0,
Manhattan,KS,USA,39.13225,-96.618083,Kansas State University Agronomy Farm,Manhattan,0,modern_plotinfo_2024
Mound Valley,KS,USA,37.205346,-95.404975,,Mound Valley,0,
Ottawa,KS,USA,39.127365,-97.656809,,Ottawa County,0,
Powhattan,KS,USA,39.761462,-95.633583,,Powhattan,0,
Thayer,KS,USA,37.4886,-95.472639,,Thayer,0,
Lexington,KY,USA,38.046407,-84.497039,,Lexington,0,
Brandon,MAN,Canada,49.851114,-99.960892,Agriculture and Agri-Food Canada Brandon Research Centre,Brandon,1,
