City,State
Portageville Mo,CLAY
Georgetown,DE
Newark,DE
Georgetown,DEL
Ames,IA
Corwith,IA
Cresco,IA
Hudson,IA
Kanawha,IA
Knierim,IA
Marshalltown,IA
Ottumwa,IA
Stuart,IA
Sutherland,IA
Belleville,IL
Brownstown,IL
Carbondale,IL
Clayton,IL
Dekalb,IL
Dwight,IL
Eldorado,IL
Giradr,IL
Girard,IL
Greenfield,IL
Mt. Morris,IL
Pontiac,IL
Stonington,IL
Sullivan,IL
Urbana,IL
Belleville,ILL
Brownstown,ILL
Carbondale,ILL
Eldorado,ILL
Bluffton,IN
Evansville,IN
Greenfield,IN
Lafayette,IN
Sullivan,IN
Vincennes,IN
Walkerton,IN
Worthington,IN
Lafayette,IND
Sullivan,IND
Manhattan,KAN
Ottawa,KAN
Powhattan,KAN
Ashland,KS
Manhattan,KS
Mound Valley,KS
Ottawa,KS
Powhattan,KS
Thayer,KS
Lexington,KY
Portageville Mo,LOAM
Brandon,MAN
Morden,MAN
Portage La Prairie,MAN
Winnipeg,MAN
Beltsville,MD
Clarksville,MD
Queenstown,MD
Dearborn,MI
Deerfield,MI
Dundee,MI
East Lansing,MI
Ida,MI
Ithaca,MI
Ottawa Lake,MI
Crookston,MN
Lamberton,MN
Morris,MN
Rosemount,MN
St. Paul,MN
Waseca,MN
"Waseca,",MN
Clinton,MO
Columbia,MO
Laddonia,MO
Norborne,MO
Novelty,MO
Portageville,MO
Portageville Clay,MO
Portageville Loam,MO
Fargo,ND
Oakes,ND
Lincoln,NE
Mead,NE
Lincoln,NEB
Adelphia,NJ
Burlington,NJ
Burlington Co.,NJ
Englishtown,NJ
Middlesex Co.,NJ
New Brunswick,NJ
Columbus,OH
Cortland,OH
Harrow,OH
Holgate,OH
Hoytville,OH
Mt. Healthy,OH
S. Charleston,OH
Wooster,OH
Elora,ONT
Guelph,ONT
Harrow,ONT
"London,",ONT
Ottawa,ONT
Ridgetown,ONT
Ontario,OR
Lancaster,PA
Landisville,PA
Palmyra,PA
State College,PA
Landisville,PENN
Brookings,SD
"Brookings,",SD
Elk Point,SD
Elkpoint,SD
Point Elk,SD
Rosholt,SD
Sisseton,SD
Watertown,SD
Lubbock,TX
Blacksburg,VA
Moses Lake,WA
Arlington,WI
"Arlington,",WI
Ashland,WI
Durand,WI
Eau Claire,WI
Fall City,WI
Madison,WI
Spooner,WI
